id,name,artist,deezer_genre,ai_genre,confidence,chart_source,fetched_at,rank,has_preview
deezer:4070114711,"Chérie coco","Leto",PT_hip_hop_tuga,UNCLASSIFIED,0,chart_PT_hip_hop_tuga,2026-06-15T16:42:17.913Z,992737,yes
deezer:3412611901,"Gabriela","KATSEYE",pop,UNCLASSIFIED,0,GL_kpop,2026-06-15T19:25:32.017Z,991587,yes
deezer:3862691491,"Save Me Tonight","Jennifer Lopez",dance,UNCLASSIFIED,0,dance,2026-06-15T16:42:18.079Z,990284,no
deezer:664107,"Take on Me","a-ha",pop,UNCLASSIFIED,0,pop,2026-06-09T21:57:32.358Z,988080,no
deezer:144389048,"Lush Life","Zara Larsson",pop,UNCLASSIFIED,0,pop,2026-06-15T16:41:58.739Z,987028,yes
deezer:3898999851,"LET ME BE","The Second Voice",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.330Z,986187,yes
deezer:3410229851,"No Broke Boys","Disco Lines",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.341Z,984982,yes
deezer:1426733732,"C'est la cité","Jul",PT_hip_hop_tuga,UNCLASSIFIED,0,chart_PT_hip_hop_tuga,2026-06-15T16:42:17.769Z,984463,yes
deezer:3818963601,"Dracula (JENNIE Remix)","Tame Impala",UK_uk_garage_dnb,UNCLASSIFIED,0,GL_kpop,2026-06-15T19:25:32.028Z,982905,yes
deezer:3045169941,"CIEL","GIMS",PT_hip_hop_tuga,UNCLASSIFIED,0,chart_PT_hip_hop_tuga,2026-06-15T16:41:51.150Z,982484,yes
deezer:75867418,"J'oublie tout","Jul",PT_hip_hop_tuga,UNCLASSIFIED,0,chart_PT_hip_hop_tuga,2026-06-15T16:42:18.057Z,978409,yes
deezer:3784998222,"Ghosts","Mosimann",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.241Z,974971,yes
deezer:410780162,"Parfum quartier","Jul",PT_hip_hop_tuga,UNCLASSIFIED,0,chart_PT_hip_hop_tuga,2026-06-15T16:42:17.669Z,971559,yes
deezer:3635951612,"Turn The Lights Off","Justė",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.274Z,970362,yes
deezer:3677123262,"Unfaithful","BlasterJaxx",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.230Z,969486,yes
deezer:3580188661,"Gone Gone Gone","David Guetta",pop,UNCLASSIFIED,0,pop_us,2026-06-15T16:41:58.783Z,968456,yes
deezer:3784724892,"Talk To You (ft. 54 Ultra)","ANOTR",electro,UNCLASSIFIED,0,dance,2026-06-15T16:42:17.603Z,968286,yes
deezer:3330178491,"KYKY2BONDY","Hamza",,UNCLASSIFIED,0,global_top,2026-06-15T16:42:18.113Z,968136,yes
deezer:9997018,"Bohemian Rhapsody (Remastered 2011)","Queen",PT_pop_rock_tuga,UNCLASSIFIED,0,chart_PT_pop_rock_tuga,2026-06-15T16:41:45.455Z,959624,yes
deezer:3857549521,"Madan","Trinix",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.352Z,957435,no
deezer:540175,"...Baby One More Time","Britney Spears",PT_pop_rock_tuga,UNCLASSIFIED,0,chart_PT_pop_rock_tuga,2026-06-15T16:41:45.532Z,956742,yes
deezer:62847142,"Titanium (feat. Sia)","David Guetta",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.208Z,956365,no
deezer:983238,"J't'emmène au vent","Louise Attaque",PT_pop_rock_tuga,UNCLASSIFIED,0,chart_PT_pop_rock_tuga,2026-06-15T16:41:45.377Z,956347,yes
deezer:673165762,"Sexy Bitch (feat. Akon)","David Guetta",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.219Z,954716,no
deezer:66609426,"Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers)","Daft Punk",dance,UNCLASSIFIED,0,dance,2026-06-15T16:42:17.647Z,954234,no
deezer:3806024652,"Upside Down","Jaden Bojsen",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.252Z,953555,no
deezer:6297555,"Alors on danse (Radio Edit)","Stromae",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.397Z,952441,no
deezer:3157972,"Viva La Vida","Coldplay",PT_pop_rock_tuga,UNCLASSIFIED,0,chart_PT_pop_rock_tuga,2026-06-15T16:41:45.422Z,951268,yes
deezer:129632340,"Let Me Love You","DJ Snake",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.485Z,950091,no
deezer:4033909541,"Four To The Floor","Ofenbach",UK_uk_garage_dnb,UNCLASSIFIED,0,chart_UK_uk_garage_dnb,2026-06-15T16:41:54.263Z,949905,yes
deezer:14299463,"Still Loving You","Scorpions",PT_pop_rock_tuga,UNCLASSIFIED,0,chart_PT_pop_rock_tuga,2026-06-15T16:42:10.711Z,949727,yes
deezer:3434402411,"Together","David Guetta",dance,UNCLASSIFIED,0,dance,2026-06-15T16:41:54.285Z,945587,yes
deezer:113876568,"Lean On","Major Lazer",FR_french_touch_electro,UNCLASSIFIED,0,chart_FR_french_touch_electro,2026-06-15T16:41:49.266Z,945278,yes
